,Cybersecurity Resources for 911 Centers,cybersecurity-resources-for-9-1-1-centers_112023_508_0.pdf,2023,Cybersecurity & Infrastructure Security Agency,"Outlines resources available (e.g., cybersecurity advisors, emergency communications coordinators, reviews/assessments, reporting and awareness systems, technical guidance)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Two Things Every 911 Center Should do to Improve Cybersecurity,22_0913_ecd_ng911wg_two_things_911centers_508C.pdf,2022,Cybersecurity & Infrastructure Security Agency,Cyber risk assessment and cyber incident response plans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Cyber Risks to 911,Cyber Risks to 911 TDoS_6.4.2020 - (508c)_1.pdf,2020,SAFECOM/NCSWIC,"Telephony Denial of Service (TDoS) threats, mitigation, and reporting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cyber Risks to Next Gen911,NG911 Cybersecurity Primer.pdf,2019,Cybersecurity & Infrastructure Security Agency,"Next Gen 911 systems introduction, security landscape, and resources to improve cybersecurity posture",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Cyber Risks to Next Gen911,Cyber-Risks-to-Next-Generation-911.pdf,,Cybersecurity & Infrastructure Security Agency,"Explains benefits and risks of Next Gen 911 systems and their infrastructure, including vulnerabilities and mitigation steps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Emergency Communications Coordination Contacts,Emergency Communications Coordination Program | CISA,,Cybersecurity & Infrastructure Security Agency,Provides a map of locations and coordinators' emails,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Security Audit Checklist,NENA-REF-012.1-2025_NENASecu.pdf,2025,National Emergency Number Association,This REF (NENA Reference Publication) is a companion to the NENA-STA-040.2-2024 NENA Security for Next Generation 9-1-1 Standard (NG-SEC) and is used to assess compliance with requirements specified in NENA-STA-040.2-2024.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Guide to Getting Started with a Cybersecurity Risk Assessment,24_0828_safecom_guide_getting_started_cybersecurity_assessment_2022_final_508C.pdf,2022,Cybersecurity & Infrastructure Security Agency,Defines risk terminolgy and explains 6 recommended assessment steps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,GIS Lifecycle Best Practices,20_0922_SAFECOM-NCSWIC_GIS_Lifecycle_Best_Practices_Guide_FINAL_508c.pdf,2020,Cybersecurity & Infrastructure Security Agency,Overview of the GIS lifecycle and best practices for each lifecycle phase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AI in Emergency Communications Centers,25_0328_s-n_ai-implemen-ecc_infographic_508C.pdf,2025,Cybersecurity & Infrastructure Security Agency,"ow ECCs are utilizing emerging technology to triage incoming calls, translate and transcribe calls, confirm critical data and identify inaudible background noises, and improve quality assurance processes. Additionally, it chronicles how ECCs utilize signal and sensor data to improve first responder situational awareness. Lastly, the Infographic highlights cybersecurity considerations for AI-enabled solutions to ensure operability, interoperability, security, and resiliency of systems.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Shields Up Guidance for Organizations,Shields Up: Guidance for Organizations | CISA,,Cybersecurity & Infrastructure Security Agency,Overview of recommended cybersecurity actions to take to improve posture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
